N,P,K,temperature,humidity,ph,rainfall,label
103.97,17.93,53.76,26.77,87.26,6.1,46.95,watermelon
29.19,57.05,91.91,23.8,16.5,6.01,80.22,chickpea
18.07,68.03,24.26,17.65,20.08,5.61,99.01,kidneybeans
45.21,78.35,53.79,27.88,86.94,6.94,200.74,papaya
96.58,35.45,21.21,25.36,68.34,7.27,100.3,maize
27.58,58.14,21.34,17.97,22.19,5.81,110.32,kidneybeans
17.36,139.99,199.36,32.27,88.6,6.96,67.6,grapes
28.48,139.06,203.87,22.24,94.43,5.54,115.86,apple
121.79,49.3,24.36,22.99,82.4,6.55,71.88,cotton
33.13,32.88,30.87,30.29,54.3,5.58,36.98,mango
32.88,71.68,18.87,24.6,56.38,6.19,100.45,pigeonpeas
38.57,22.35,31.1,32.01,46.47,5.91,53.3,mango
31.79,29.93,38.54,20.54,91.32,5.51,123.65,pomegranate
31.76,12.79,41.15,18.22,91.61,5.88,124.76,pomegranate
35.79,29.07,11.45,17.0,94.16,7.37,103.41,orange
26.23,28.41,33.45,26.82,98.97,6.33,168.27,coconut
82.17,59.6,18.42,26.43,65.14,5.71,85.78,maize
22.23,28.73,26.6,30.85,54.33,4.94,87.11,mango
108.48,12.43,54.52,25.35,85.47,6.63,47.09,watermelon
17.81,19.64,11.46,21.72,93.82,7.23,111.73,orange
61.49,55.34,45.89,30.09,87.3,6.88,120.58,papaya
80.75,37.46,26.69,25.54,64.67,6.23,158.26,coffee
108.77,11.61,52.97,28.46,93.31,6.62,28.22,muskmelon
29.19,76.05,96.82,23.38,23.6,6.24,79.56,chickpea
119.47,17.04,29.54,23.56,64.68,7.13,178.42,coffee
29.84,63.0,18.56,23.03,67.2,6.68,39.26,lentil
27.33,124.0,203.19,8.34,86.49,6.06,68.81,grapes
34.6,131.78,196.3,23.4,88.38,6.82,60.58,grapes
99.26,81.64,47.52,23.61,83.31,7.0,109.32,banana
114.31,82.54,46.76,29.44,76.75,6.15,126.81,banana
22.8,76.68,20.2,19.91,64.3,6.88,36.22,lentil
107.4,14.38,47.67,24.53,82.12,6.63,43.75,watermelon
28.0,64.29,17.89,19.62,19.9,5.83,60.75,kidneybeans
103.25,78.06,45.12,25.42,85.01,5.97,97.66,banana
97.61,90.23,49.12,29.01,88.69,6.81,101.94,banana
86.58,46.12,39.56,26.43,87.31,6.6,174.84,jute
33.61,14.17,37.31,23.3,86.91,5.97,114.59,pomegranate
34.72,64.14,23.67,19.38,18.65,6.01,140.02,kidneybeans
114.6,15.25,25.68,27.34,54.51,6.7,150.06,coffee
105.43,23.67,46.53,25.53,86.27,6.58,41.44,watermelon
38.4,130.67,196.7,23.46,91.49,5.85,121.97,apple
38.31,56.94,17.38,31.32,65.77,6.66,54.67,mungbean
22.74,62.44,76.43,17.67,14.87,7.07,64.99,chickpea
19.3,61.64,21.22,21.86,64.34,7.25,43.93,lentil
33.69,17.13,14.25,10.28,90.24,6.23,101.85,orange
36.44,21.15,14.89,12.48,92.43,6.53,108.67,orange
93.91,72.87,53.11,27.68,89.8,6.14,114.05,banana
17.35,64.0,16.83,21.5,69.89,7.29,43.99,lentil
94.3,20.7,50.34,24.6,85.9,6.61,41.0,watermelon
32.64,15.55,40.67,21.33,90.52,5.64,124.86,pomegranate
46.3,65.84,51.39,23.5,85.34,6.25,165.36,papaya
96.37,48.39,35.94,25.79,87.63,5.99,269.27,rice
103.45,97.29,46.97,24.78,79.09,5.93,103.56,banana
75.89,35.99,17.2,19.13,64.85,5.65,76.22,maize
23.68,13.28,11.25,30.37,92.09,6.96,110.0,orange
16.99,48.74,18.42,33.89,67.3,6.47,40.22,mungbean
117.04,93.05,53.28,29.95,80.85,6.78,109.28,banana
82.08,36.92,21.19,22.32,61.74,5.89,106.36,maize
68.2,58.13,15.76,21.87,72.41,6.84,93.47,maize
31.45,47.08,21.1,26.54,38.57,4.73,47.87,mothbeans
105.98,22.48,46.39,26.36,87.4,6.26,43.99,watermelon
106.07,59.69,21.23,23.0,80.2,6.22,69.63,cotton
28.05,77.52,23.06,20.53,69.14,6.77,42.95,lentil
28.39,68.67,24.33,31.63,72.41,6.04,67.43,blackgram
122.91,58.43,16.09,22.29,71.23,5.86,70.5,cotton
96.19,17.27,50.64,27.32,91.91,6.29,20.89,muskmelon
20.42,73.07,22.07,31.45,70.29,7.41,74.91,blackgram
108.09,18.99,51.0,25.37,89.26,6.73,49.5,watermelon
64.24,75.88,51.31,33.41,94.89,6.33,68.4,papaya
25.68,134.92,203.01,22.55,93.46,5.73,121.01,apple
85.62,20.85,32.61,27.15,57.36,6.55,197.04,coffee
38.94,67.51,17.42,19.09,18.09,5.58,97.08,kidneybeans
38.01,58.45,23.87,31.81,67.72,6.26,64.98,mungbean
30.75,37.42,21.49,30.71,62.16,4.82,32.11,mothbeans
29.42,64.48,17.65,21.22,63.01,5.82,40.7,lentil
34.45,60.28,15.87,26.95,33.07,7.21,141.19,pigeonpeas
36.41,24.0,32.91,32.55,51.61,5.6,92.58,mango
38.69,59.98,17.6,24.67,18.71,5.93,108.21,kidneybeans
34.37,36.91,34.56,34.22,48.12,5.33,96.54,mango
88.89,40.53,22.23,25.17,74.43,5.98,104.0,maize
16.26,55.37,24.44,23.17,18.79,5.8,136.95,kidneybeans
34.65,76.66,23.36,26.95,72.85,6.23,69.0,blackgram
106.98,10.46,46.11,24.82,89.99,6.27,46.9,watermelon
103.85,14.09,45.66,25.2,82.38,6.09,41.32,watermelon
70.38,42.98,23.51,23.4,74.4,6.72,64.83,maize
86.89,40.05,38.74,25.13,82.17,6.91,157.7,jute
71.78,43.5,16.59,20.18,63.62,6.79,79.97,maize
35.27,28.37,28.78,30.86,47.65,6.23,90.93,mango
25.02,74.4,16.23,32.17,74.95,6.01,64.36,blackgram
103.37,14.98,45.44,26.19,84.0,6.23,49.28,watermelon
88.93,36.58,40.26,26.33,84.37,6.17,194.2,jute
87.5,41.11,42.47,23.53,70.15,7.42,151.39,jute
41.11,76.83,81.17,21.04,14.38,6.84,95.08,chickpea
89.52,58.75,16.3,18.54,68.47,7.3,94.75,maize
36.17,139.68,198.66,39.86,88.71,6.18,73.34,grapes
37.3,60.63,17.82,17.35,23.24,5.66,112.09,kidneybeans
105.16,14.13,51.59,27.99,90.75,6.23,21.01,muskmelon
31.94,76.0,22.75,22.3,54.91,6.97,138.85,pigeonpeas
17.94,11.45,36.58,24.26,93.33,6.07,111.87,pomegranate
34.93,120.59,197.16,22.68,94.68,6.43,119.36,apple
124.34,44.95,16.52,22.4,75.14,6.26,89.66,cotton
68.11,72.89,50.36,33.83,89.68,6.04,164.5,papaya
100.31,12.78,50.1,29.04,94.46,6.08,25.8,muskmelon
49.63,56.0,51.0,34.06,90.38,6.51,177.42,papaya
27.62,44.43,20.79,26.99,60.74,6.96,42.21,mungbean
112.97,82.24,52.24,28.13,84.92,5.71,97.66,banana
20.81,126.32,204.04,8.31,87.52,6.78,65.62,grapes
19.07,38.08,23.62,31.57,49.5,4.81,45.75,mothbeans
35.52,16.12,37.57,23.41,93.7,6.15,102.24,pomegranate
63.98,41.24,18.73,26.29,58.59,6.28,71.69,maize
33.77,23.25,35.08,23.87,92.7,6.29,119.4,pomegranate
57.6,64.85,51.03,31.8,92.74,6.76,85.5,papaya
99.54,24.97,53.51,27.23,93.01,6.13,29.86,muskmelon
90.46,90.12,52.24,24.83,83.65,5.7,123.5,banana
20.04,38.23,20.69,34.28,77.47,7.0,45.92,mungbean
21.39,71.23,15.2,20.5,62.84,7.44,45.95,lentil
16.41,47.55,20.44,29.46,63.76,7.0,42.34,mungbean
135.03,57.19,18.37,22.09,71.75,6.04,67.32,cotton
64.27,36.97,42.48,23.0,70.02,7.48,192.85,jute
19.31,67.58,24.47,23.64,60.09,6.16,51.36,lentil
46.89,56.83,52.68,41.31,92.98,6.38,91.44,papaya
37.75,58.52,20.82,23.17,21.04,5.52,74.08,kidneybeans
26.78,19.14,10.95,19.5,94.82,6.22,101.98,orange
22.01,144.48,201.46,19.12,82.2,6.34,68.78,grapes
44.01,62.98,16.9,31.51,74.23,7.11,67.58,blackgram
18.35,55.59,18.72,23.07,24.61,5.89,129.55,kidneybeans
16.34,66.84,19.32,20.84,65.27,6.42,43.18,lentil
27.11,56.79,19.71,16.03,67.95,6.65,37.33,lentil
35.75,14.55,32.41,25.56,95.89,5.89,184.23,coconut
35.9,120.91,200.74,21.12,94.72,5.52,115.18,apple
82.45,40.61,36.16,26.34,84.33,5.86,290.5,rice
110.14,43.87,21.82,23.73,73.22,6.63,91.79,cotton
33.57,76.33,18.62,33.52,67.95,6.12,68.13,blackgram
37.89,122.72,204.73,22.03,82.14,6.69,67.7,grapes
96.0,21.01,49.13,25.09,86.72,6.51,41.48,watermelon
28.54,15.49,30.48,29.15,52.51,4.63,32.64,mango
68.21,35.78,17.31,24.24,74.5,5.56,70.84,maize
31.17,76.87,20.12,34.81,68.36,7.16,76.16,blackgram
15.8,123.99,197.0,17.07,80.47,6.16,74.79,grapes
37.92,16.88,44.06,20.52,89.81,5.56,100.85,pomegranate
90.6,16.99,53.08,28.66,90.41,6.78,26.16,muskmelon
85.08,22.12,34.31,27.43,57.47,7.18,188.1,coffee
16.6,124.33,198.71,21.22,90.46,6.33,121.7,apple
109.61,85.62,53.83,29.44,84.14,6.58,118.75,banana
69.09,52.59,40.44,26.1,86.11,7.04,191.92,jute
26.73,137.0,202.08,8.9,82.91,6.67,65.09,grapes
20.93,14.57,10.94,22.75,93.81,6.03,118.52,orange
93.66,23.79,50.44,29.02,93.54,6.7,25.16,muskmelon
108.75,20.5,49.32,24.94,84.24,6.52,44.64,watermelon
38.47,17.87,33.17,26.99,91.19,6.8,164.64,coconut
91.05,10.27,46.87,24.73,81.66,6.3,45.69,watermelon
60.52,57.89,19.81,18.58,62.18,6.26,87.89,maize
18.38,134.72,201.25,21.11,90.27,6.17,107.75,apple
21.76,68.61,15.39,15.11,18.71,5.5,128.28,kidneybeans
21.04,66.22,90.21,17.81,24.46,7.78,85.06,chickpea
39.53,66.46,21.77,22.93,69.61,5.73,156.78,pigeonpeas
94.47,15.52,47.07,25.39,89.79,6.65,42.33,watermelon
33.86,123.62,195.18,21.58,90.56,6.04,120.91,apple
31.0,126.46,202.81,38.78,85.89,6.58,69.13,grapes
19.21,74.18,15.39,25.89,68.19,6.91,41.86,lentil
24.71,142.68,196.5,21.6,93.51,6.32,111.18,apple
107.46,12.5,45.86,26.12,83.99,6.55,48.15,watermelon
17.39,72.57,20.57,26.19,64.43,6.06,45.57,lentil
21.79,71.16,24.93,22.29,24.63,6.44,103.56,kidneybeans
104.34,18.62,47.52,24.79,81.47,6.55,49.86,watermelon
65.57,56.87,21.17,21.57,59.12,6.12,61.81,maize
19.8,27.85,30.97,26.07,97.6,6.18,178.15,coconut
121.03,51.33,16.96,25.26,79.47,5.54,95.78,cotton
90.17,20.12,54.6,28.84,93.34,6.04,28.04,muskmelon
35.38,71.15,75.65,20.04,24.02,6.1,73.7,chickpea
69.73,56.0,52.79,34.6,88.65,6.43,209.57,papaya
24.11,57.53,24.46,31.38,68.47,7.02,73.99,blackgram
94.19,34.81,32.39,24.9,53.44,6.76,168.7,coffee
21.08,79.33,15.01,30.61,46.53,4.79,196.18,pigeonpeas
17.58,128.98,203.9,21.76,93.81,6.36,104.34,apple
21.94,19.78,44.92,20.84,85.22,5.52,114.75,pomegranate
99.08,24.9,49.64,28.78,93.07,6.79,24.86,muskmelon
27.58,65.99,96.0,20.71,18.65,7.22,90.48,chickpea
43.07,71.53,89.71,17.54,20.98,7.94,74.58,chickpea
68.63,56.0,49.19,34.47,87.79,6.35,90.35,papaya
28.78,55.18,15.74,17.12,63.63,5.92,44.3,lentil
21.93,134.01,203.54,21.01,91.36,5.5,117.04,apple
16.8,127.32,200.53,21.91,91.31,5.67,101.6,apple
65.74,55.82,49.64,25.27,92.32,6.76,221.9,papaya
93.29,18.24,53.63,28.53,90.86,6.21,26.43,muskmelon
33.64,136.85,195.56,22.9,94.57,5.92,101.15,apple
47.36,64.76,49.85,33.67,92.02,6.59,235.68,papaya
92.53,42.42,42.27,25.27,78.8,6.63,182.62,jute
27.91,41.02,24.97,29.05,54.05,5.67,66.9,mothbeans
15.43,16.38,26.83,26.01,97.38,6.84,145.36,coconut
24.18,11.45,37.23,23.75,86.27,6.72,129.08,pomegranate
28.56,27.62,35.57,23.38,86.76,6.7,120.8,pomegranate
96.3,41.63,38.99,26.74,84.5,5.6,244.49,rice
101.39,21.88,53.11,27.11,92.46,6.09,26.62,muskmelon
23.94,77.74,17.98,22.78,69.34,5.64,41.79,lentil
98.41,15.8,47.09,25.03,85.81,6.67,44.03,watermelon
35.09,67.32,19.77,22.54,20.78,6.26,141.16,kidneybeans
39.02,60.75,18.4,35.72,67.06,5.79,92.83,pigeonpeas
18.89,143.08,199.68,21.51,91.65,6.34,109.82,apple
65.48,40.97,21.88,24.43,55.1,7.11,70.43,maize
86.6,40.84,20.82,26.05,65.31,6.7,103.9,maize
30.31,128.32,198.77,9.7,86.1,5.79,73.35,grapes
32.56,56.56,16.86,23.71,19.5,6.06,119.36,kidneybeans
66.45,47.57,43.56,26.79,84.61,6.39,234.29,rice
91.01,35.41,35.37,26.65,90.0,6.31,281.57,rice
16.99,15.56,28.95,27.22,50.76,5.89,45.2,mango
30.42,19.45,11.11,16.7,94.67,7.46,115.33,orange
28.22,38.26,15.5,29.43,62.44,6.94,41.68,mungbean
30.62,18.49,39.94,18.23,92.3,5.59,127.09,pomegranate
85.33,35.19,42.53,23.55,83.18,6.91,163.27,jute
106.01,20.9,29.75,26.45,51.06,6.82,168.92,coffee
20.18,63.35,17.97,28.67,71.5,6.75,74.89,blackgram
95.39,84.56,48.37,27.81,77.36,6.18,128.6,banana
23.99,62.63,21.43,30.24,74.12,6.78,76.15,blackgram
28.57,21.72,25.23,29.54,93.21,5.68,210.08,coconut
15.22,65.82,20.01,23.11,22.72,6.45,138.35,kidneybeans
120.21,37.6,22.82,23.03,75.54,6.65,80.98,cotton
31.24,73.88,81.48,21.62,23.12,6.91,77.76,chickpea
107.61,15.81,46.37,29.97,94.41,6.01,21.1,muskmelon
99.38,58.48,21.32,23.11,60.39,6.93,73.16,maize
94.5,23.11,47.38,27.04,93.7,6.48,24.68,muskmelon
26.34,15.3,30.17,31.42,45.09,6.62,54.77,mango
18.89,14.7,12.06,19.57,94.99,6.82,108.4,orange
69.2,52.88,43.08,26.86,74.35,7.4,172.22,jute
36.3,46.88,16.7,34.15,73.78,7.12,52.65,mungbean
28.93,66.63,23.71,25.81,57.03,5.85,95.55,pigeonpeas
21.24,56.61,18.71,31.62,86.72,6.3,58.4,mungbean
64.71,47.0,22.61,23.73,64.04,5.86,79.85,maize
99.9,71.85,50.73,25.4,79.7,5.8,95.2,banana
90.66,87.81,52.1,26.55,87.44,6.77,116.17,banana
28.05,39.97,30.32,33.95,46.06,5.79,52.76,mango
86.53,25.48,33.22,27.08,56.3,6.19,178.8,coffee
115.76,97.0,45.87,28.38,77.46,6.36,101.03,banana
102.14,38.52,21.34,24.61,79.77,5.96,79.77,cotton
35.98,73.69,21.57,18.81,21.15,5.66,115.84,kidneybeans
118.91,57.22,18.9,25.27,84.49,6.7,61.29,cotton
33.94,35.96,23.53,32.66,79.87,6.29,55.11,mungbean
44.15,58.18,18.01,30.63,73.24,6.32,75.88,blackgram
94.18,19.82,54.44,25.66,80.73,6.72,40.74,watermelon
26.52,23.54,27.21,35.09,48.53,6.37,52.17,mango
23.11,63.87,23.26,19.17,68.85,5.42,104.41,pigeonpeas
16.33,122.22,200.45,23.04,83.68,6.48,64.21,grapes
15.72,25.16,29.88,27.04,93.53,6.06,221.37,coconut
22.94,66.45,24.51,24.79,22.11,6.36,112.53,kidneybeans
25.05,71.54,17.61,30.99,31.58,5.18,157.88,pigeonpeas
23.75,59.0,81.8,24.87,23.41,7.15,78.51,chickpea
18.15,55.66,20.05,25.51,87.33,6.77,52.95,mungbean
22.41,47.24,20.88,25.35,59.83,4.02,38.47,mothbeans
110.64,82.28,46.74,23.03,82.15,6.19,110.89,banana
25.19,64.82,19.29,15.34,68.59,6.41,51.73,lentil
38.98,10.07,27.94,27.75,90.29,6.36,152.79,coconut
30.08,23.76,35.32,19.6,88.05,6.18,101.48,pomegranate
30.49,19.77,32.76,28.05,99.43,5.95,150.42,coconut
33.74,64.55,76.93,21.36,19.64,6.68,75.52,chickpea
80.91,43.13,43.55,20.08,77.21,5.93,250.95,rice
32.56,74.11,89.04,20.88,14.77,6.56,65.62,chickpea
69.67,79.64,52.79,41.28,88.93,6.14,61.0,papaya
21.04,79.19,20.97,21.12,55.19,6.54,122.54,pigeonpeas
26.03,18.66,25.62,30.93,47.52,5.07,93.26,mango
19.05,47.79,22.35,25.99,47.92,7.52,40.09,mothbeans
138.73,37.81,22.19,26.74,83.3,7.4,81.5,cotton
28.28,17.56,14.95,26.78,94.82,7.12,109.16,orange
135.04,59.85,16.94,23.5,84.2,6.73,73.44,cotton
17.54,27.23,13.47,15.54,90.5,6.23,106.09,orange
23.66,139.98,200.96,21.01,93.63,6.46,107.72,apple
22.01,62.3,19.46,18.24,64.3,6.06,47.19,lentil
30.02,144.6,201.02,29.34,87.48,5.77,74.07,grapes
86.47,59.22,44.52,26.13,86.3,6.77,168.47,jute
21.19,18.14,28.65,25.28,95.65,6.5,155.11,coconut
18.91,75.96,21.78,24.89,65.92,5.13,163.98,pigeonpeas
24.57,139.6,202.86,23.61,89.01,6.71,68.66,grapes
27.45,57.56,16.4,25.68,50.23,8.75,52.76,mothbeans
22.13,47.62,20.33,25.1,70.8,6.88,59.91,mungbean
34.38,62.5,24.2,21.95,24.06,6.01,119.55,kidneybeans
109.47,21.28,50.49,27.7,90.97,6.25,21.3,muskmelon
118.33,19.27,26.89,27.38,57.31,6.44,166.14,coffee
91.62,10.68,51.22,26.85,84.64,6.54,49.05,watermelon
24.45,40.06,17.61,26.71,38.61,9.78,49.0,mothbeans
17.4,60.15,16.87,16.47,69.06,6.41,37.76,lentil
65.84,73.93,52.79,26.97,89.16,6.58,196.29,papaya
20.65,79.09,20.65,22.09,22.6,5.57,147.13,kidneybeans
35.93,76.62,20.51,33.22,63.77,6.52,191.02,pigeonpeas
24.94,143.56,203.62,18.81,89.03,6.29,67.6,grapes
18.28,42.62,23.63,29.64,62.74,6.89,54.71,mungbean
84.3,57.71,43.09,26.93,84.2,6.57,194.03,rice
39.94,73.98,19.3,26.24,55.42,5.73,194.05,pigeonpeas
34.84,132.03,195.11,23.93,90.33,5.69,119.1,apple
80.44,39.66,43.12,23.89,86.59,6.56,172.79,jute
77.96,46.72,40.96,26.01,74.42,7.38,197.45,jute
33.93,120.71,199.91,24.18,89.29,6.7,71.65,grapes
37.65,69.88,21.41,21.61,21.38,5.76,138.96,kidneybeans
96.79,15.01,48.31,29.11,92.53,6.37,26.06,muskmelon
92.09,48.88,38.23,26.21,85.07,5.74,228.1,rice
70.74,58.85,41.33,26.69,85.85,6.93,155.28,jute
37.7,51.05,18.06,30.79,59.57,5.04,55.41,mothbeans
20.01,72.45,17.05,18.15,69.48,5.85,47.81,lentil
56.44,74.25,47.2,35.88,90.22,6.76,132.06,papaya
25.19,71.29,16.97,17.26,22.49,6.17,110.46,kidneybeans
61.88,51.99,24.69,24.58,69.09,6.32,80.15,maize
92.9,49.69,37.94,23.89,89.61,6.72,191.13,jute
91.28,36.98,32.55,23.74,63.87,7.38,174.48,coffee
63.08,50.78,41.26,26.74,77.28,6.52,234.27,rice
32.23,44.58,19.16,31.81,39.15,9.18,60.49,mothbeans
16.81,142.97,204.73,23.45,94.98,5.7,108.38,apple
101.23,24.62,50.77,29.88,92.06,6.46,20.17,muskmelon
64.16,53.31,23.1,25.6,67.63,5.51,77.75,maize
90.86,17.98,54.43,24.43,86.86,6.04,49.97,watermelon
23.75,76.31,18.67,26.9,66.09,6.41,67.11,blackgram
29.97,61.63,89.02,18.33,15.92,6.41,79.42,chickpea
114.5,56.4,19.15,25.35,70.39,7.01,75.54,cotton
99.48,74.83,50.91,27.35,79.99,6.07,99.46,banana
30.4,129.37,197.79,31.08,88.94,6.11,61.21,grapes
50.97,57.21,51.54,30.8,94.26,6.07,116.92,papaya
25.16,11.53,30.48,28.76,94.96,5.79,218.98,coconut
21.31,22.14,26.46,27.48,45.89,6.61,93.86,mango
17.84,11.6,33.98,25.93,91.08,5.56,170.76,coconut
109.67,39.76,30.39,27.13,50.89,6.39,185.88,coffee
28.81,63.7,16.19,22.14,20.19,6.45,123.79,kidneybeans
35.85,43.16,15.87,27.14,84.66,6.88,60.52,mungbean
103.63,86.12,50.36,24.15,87.16,6.45,108.75,banana
29.44,46.86,24.48,27.42,70.87,6.55,51.15,mungbean
18.23,69.16,16.31,17.74,60.41,6.44,38.34,lentil
97.67,43.47,44.97,25.09,87.57,6.11,173.09,jute
53.22,79.33,54.89,40.89,92.6,6.84,111.92,papaya
48.23,77.23,52.34,31.17,89.52,6.57,235.95,papaya
103.96,39.8,31.41,25.87,53.68,6.75,177.95,coffee
107.06,22.29,54.41,26.84,87.86,6.68,42.18,watermelon
32.6,71.85,24.46,23.0,19.69,6.11,98.24,kidneybeans
36.91,37.1,32.39,29.58,46.63,5.47,74.49,mango
37.88,18.99,12.84,28.35,94.16,6.04,101.95,orange
33.69,12.87,11.24,25.44,90.95,6.28,104.1,orange
111.26,42.01,18.4,25.57,78.19,6.79,79.94,cotton
24.17,49.58,15.14,32.78,72.81,7.1,55.93,mungbean
20.26,121.32,204.39,23.52,90.5,5.74,111.76,apple
94.02,54.15,41.43,25.9,70.07,7.04,180.85,jute
16.62,144.46,203.26,22.55,89.35,5.51,62.29,grapes
61.26,51.44,39.92,20.82,81.89,6.3,276.34,rice
40.04,68.56,91.42,18.22,20.53,6.24,94.8,chickpea
17.21,59.92,22.96,32.32,46.13,4.65,118.45,pigeonpeas
19.6,39.15,15.92,33.08,77.63,6.83,61.68,mungbean
32.9,139.71,199.14,21.4,88.5,6.18,64.37,grapes
33.02,19.65,38.15,18.56,92.05,6.22,109.88,pomegranate
30.81,58.03,83.36,21.1,16.34,7.14,60.93,chickpea
28.84,122.1,202.77,9.19,81.73,5.79,69.09,grapes
34.65,29.96,28.1,27.57,91.43,5.88,224.05,coconut
38.12,45.52,17.27,27.94,69.47,6.62,43.61,mungbean
18.14,51.81,17.25,31.04,63.26,9.32,53.9,mothbeans
66.91,61.55,48.97,26.8,86.75,6.61,56.14,papaya
63.42,35.85,20.92,23.24,66.86,7.23,96.53,maize
22.45,70.91,97.66,24.74,20.41,6.59,97.76,chickpea
105.29,90.4,52.19,25.79,79.66,6.25,119.84,banana
33.59,130.01,203.93,22.96,92.54,5.98,119.46,apple
99.18,26.58,32.34,24.76,61.47,6.65,153.12,coffee
